Algorithm,Instance,Run_ID,Makespan,Workload Balance,Runtime
ML,2a_Hurink_sdata_61_workers.fjs,1,1079,104441.73,41.12
ML,2a_Hurink_sdata_61_workers.fjs,2,1198,317189.73,41.26
ML,2a_Hurink_sdata_61_workers.fjs,3,1140,381075.6,41.44
ML,2a_Hurink_sdata_61_workers.fjs,4,1207,125517.6,41.11
ML,2a_Hurink_sdata_61_workers.fjs,5,1164,366811.73,41.16
ML,2a_Hurink_sdata_61_workers.fjs,6,1085,207430.4,41.28
ML,2a_Hurink_sdata_61_workers.fjs,7,1160,154981.33,40.96
ML,2a_Hurink_sdata_61_workers.fjs,8,1181,343685.73,41.15
ML,2a_Hurink_sdata_61_workers.fjs,9,1093,206380.4,41.03
ML,2a_Hurink_sdata_61_workers.fjs,10,1142,166146.0,41.09
ML,1_Brandimarte_7_workers.fjs,1,267,8211.71,38.75
ML,1_Brandimarte_7_workers.fjs,2,263,10615.71,38.76
ML,1_Brandimarte_7_workers.fjs,3,225,4783.43,38.55
ML,1_Brandimarte_7_workers.fjs,4,254,2339.43,38.68
ML,1_Brandimarte_7_workers.fjs,5,266,8379.71,38.76
ML,1_Brandimarte_7_workers.fjs,6,249,8981.71,38.84
ML,1_Brandimarte_7_workers.fjs,7,245,2373.43,38.61
ML,1_Brandimarte_7_workers.fjs,8,261,1511.43,38.59
ML,1_Brandimarte_7_workers.fjs,9,246,6325.71,38.63
ML,1_Brandimarte_7_workers.fjs,10,263,6649.43,38.61
ML,3_DPpaulli_9_workers.fjs,1,4010,207917.67,126.18
ML,3_DPpaulli_9_workers.fjs,2,3962,976397.67,127.58
ML,3_DPpaulli_9_workers.fjs,3,3839,617568.67,126.66
ML,3_DPpaulli_9_workers.fjs,4,4027,1120848.0,126.81
ML,3_DPpaulli_9_workers.fjs,5,3835,632241.0,126.35
ML,3_DPpaulli_9_workers.fjs,6,3926,878504.92,126.56
ML,3_DPpaulli_9_workers.fjs,7,3962,511698.92,126.42
ML,3_DPpaulli_9_workers.fjs,8,3812,575332.67,126.12
ML,3_DPpaulli_9_workers.fjs,9,3756,521125.67,126.2
ML,3_DPpaulli_9_workers.fjs,10,3835,318479.0,125.52
ML,2a_Hurink_sdata_40_workers.fjs,1,2091,922348.59,102.22
ML,2a_Hurink_sdata_40_workers.fjs,2,2100,715722.36,102.22
ML,2a_Hurink_sdata_40_workers.fjs,3,1974,919372.36,102.22
ML,2a_Hurink_sdata_40_workers.fjs,4,2110,736041.09,102.26
ML,2a_Hurink_sdata_40_workers.fjs,5,2116,733827.5,101.96
ML,2a_Hurink_sdata_40_workers.fjs,6,1992,600787.32,102.18
ML,2a_Hurink_sdata_40_workers.fjs,7,2100,587109.09,101.88
ML,2a_Hurink_sdata_40_workers.fjs,8,2180,421783.09,102.86
ML,2a_Hurink_sdata_40_workers.fjs,9,2077,368387.27,103.47
ML,2a_Hurink_sdata_40_workers.fjs,10,2038,1018921.45,102.34
ML,0_BehnkeGeiger_46_workers.fjs,1,174,31790.49,97.72
ML,0_BehnkeGeiger_46_workers.fjs,2,178,27826.1,99.26
ML,0_BehnkeGeiger_46_workers.fjs,3,182,31783.96,99.62
ML,0_BehnkeGeiger_46_workers.fjs,4,170,30960.22,99.63
ML,0_BehnkeGeiger_46_workers.fjs,5,176,27697.66,99.16
ML,0_BehnkeGeiger_46_workers.fjs,6,183,27684.99,100.28
ML,0_BehnkeGeiger_46_workers.fjs,7,181,29868.06,100.1
ML,0_BehnkeGeiger_46_workers.fjs,8,180,25924.2,98.58
ML,0_BehnkeGeiger_46_workers.fjs,9,181,34468.62,100.63
ML,0_BehnkeGeiger_46_workers.fjs,10,181,24020.4,99.21
ML,2b_Hurink_edata_6_workers.fjs,1,729,87537.43,19.62
ML,2b_Hurink_edata_6_workers.fjs,2,701,84721.43,19.55
ML,2b_Hurink_edata_6_workers.fjs,3,649,230980.86,19.51
ML,2b_Hurink_edata_6_workers.fjs,4,686,127696.0,19.17
ML,2b_Hurink_edata_6_workers.fjs,5,744,24013.43,19.18
ML,2b_Hurink_edata_6_workers.fjs,6,717,51155.43,19.44
ML,2b_Hurink_edata_6_workers.fjs,7,701,80161.43,19.19
ML,2b_Hurink_edata_6_workers.fjs,8,694,39977.71,19.35
ML,2b_Hurink_edata_6_workers.fjs,9,706,68649.71,19.72
ML,2b_Hurink_edata_6_workers.fjs,10,700,188863.43,19.73
ML,2d_Hurink_vdata_18_workers.fjs,1,1401,227748.86,39.2
ML,2d_Hurink_vdata_18_workers.fjs,2,1423,126572.0,39.37
ML,2d_Hurink_vdata_18_workers.fjs,3,1468,158138.0,38.97
ML,2d_Hurink_vdata_18_workers.fjs,4,1441,182651.43,38.95
ML,2d_Hurink_vdata_18_workers.fjs,5,1414,443903.71,39.7
ML,2d_Hurink_vdata_18_workers.fjs,6,1457,64910.0,38.83
ML,2d_Hurink_vdata_18_workers.fjs,7,1484,160755.43,39.21
ML,2d_Hurink_vdata_18_workers.fjs,8,1439,276331.71,39.34
ML,2d_Hurink_vdata_18_workers.fjs,9,1456,276978.86,39.35
ML,2d_Hurink_vdata_18_workers.fjs,10,1395,302683.71,39.2
ML,0_BehnkeGeiger_42_workers.fjs,1,117,13967.99,67.7
ML,0_BehnkeGeiger_42_workers.fjs,2,116,11316.72,62.98
ML,0_BehnkeGeiger_42_workers.fjs,3,117,12460.0,61.6
ML,0_BehnkeGeiger_42_workers.fjs,4,113,13166.57,63.73
