Algorithm,Instance,Run_ID,Makespan,Workload Balance,Runtime
GA,5_Kacem_4_workers.fjs,1,33,487.73,24.75
GA,5_Kacem_4_workers.fjs,2,36,505.73,24.55
GA,5_Kacem_4_workers.fjs,3,37,420.4,24.45
GA,5_Kacem_4_workers.fjs,4,34,522.93,24.21
GA,5_Kacem_4_workers.fjs,5,40,487.33,24.33
GA,5_Kacem_4_workers.fjs,6,37,455.73,24.44
GA,5_Kacem_4_workers.fjs,7,39,984.4,24.43
GA,5_Kacem_4_workers.fjs,8,38,724.93,24.58
GA,5_Kacem_4_workers.fjs,9,38,917.73,24.12
GA,5_Kacem_4_workers.fjs,10,36,438.93,24.97
GA,2c_Hurink_rdata_50_workers.fjs,1,7419,2693527.5,20.1
GA,2c_Hurink_rdata_50_workers.fjs,2,7579,5595734.0,19.84
GA,2c_Hurink_rdata_50_workers.fjs,3,7104,8896336.83,19.8
GA,2c_Hurink_rdata_50_workers.fjs,4,7138,14500620.83,19.77
GA,2c_Hurink_rdata_50_workers.fjs,5,6755,2212037.33,19.93
GA,2c_Hurink_rdata_50_workers.fjs,6,7362,9225461.5,20.08
GA,2c_Hurink_rdata_50_workers.fjs,7,7496,2315038.0,20.14
GA,2c_Hurink_rdata_50_workers.fjs,8,7222,5025456.0,20.47
GA,2c_Hurink_rdata_50_workers.fjs,9,7226,14344123.33,20.2
GA,2c_Hurink_rdata_50_workers.fjs,10,6931,7452255.33,19.9
GA,3_DPpaulli_15_workers.fjs,1,4365,1506342.4,181.32
GA,3_DPpaulli_15_workers.fjs,2,4146,1821341.6,181.74
GA,3_DPpaulli_15_workers.fjs,3,4241,995041.33,180.27
GA,3_DPpaulli_15_workers.fjs,4,4264,814663.33,180.73
GA,3_DPpaulli_15_workers.fjs,5,4212,720605.73,180.47
GA,3_DPpaulli_15_workers.fjs,6,4292,640070.93,180.62
GA,3_DPpaulli_15_workers.fjs,7,4299,1559713.73,180.28
GA,3_DPpaulli_15_workers.fjs,8,4305,1232624.93,180.11
GA,3_DPpaulli_15_workers.fjs,9,4179,1052711.33,180.68
GA,3_DPpaulli_15_workers.fjs,10,4460,750261.73,180.18
GA,2a_Hurink_sdata_18_workers.fjs,1,1544,170155.43,39.24
GA,2a_Hurink_sdata_18_workers.fjs,2,1568,255947.71,39.03
GA,2a_Hurink_sdata_18_workers.fjs,3,1620,422859.71,39.32
GA,2a_Hurink_sdata_18_workers.fjs,4,1623,276661.71,39.12
GA,2a_Hurink_sdata_18_workers.fjs,5,1640,463887.43,38.93
GA,2a_Hurink_sdata_18_workers.fjs,6,1535,75505.71,38.89
GA,2a_Hurink_sdata_18_workers.fjs,7,1517,313733.43,39.28
GA,2a_Hurink_sdata_18_workers.fjs,8,1530,456571.71,39.06
GA,2a_Hurink_sdata_18_workers.fjs,9,1639,396303.43,39.04
GA,2a_Hurink_sdata_18_workers.fjs,10,1605,351474.86,39.18
GA,2d_Hurink_vdata_30_workers.fjs,1,2000,611989.73,84.33
GA,2d_Hurink_vdata_30_workers.fjs,2,1969,630958.93,84.4
GA,2d_Hurink_vdata_30_workers.fjs,3,1917,717906.93,84.53
GA,2d_Hurink_vdata_30_workers.fjs,4,1922,486029.33,84.27
GA,2d_Hurink_vdata_30_workers.fjs,5,1992,348372.93,84.32
GA,2d_Hurink_vdata_30_workers.fjs,6,1860,391749.73,84.44
GA,2d_Hurink_vdata_30_workers.fjs,7,2004,536615.33,84.45
GA,2d_Hurink_vdata_30_workers.fjs,8,1909,195982.0,85.12
GA,2d_Hurink_vdata_30_workers.fjs,9,1913,750234.93,84.48
GA,2d_Hurink_vdata_30_workers.fjs,10,2083,684718.4,84.08
GA,2a_Hurink_sdata_61_workers.fjs,1,1079,104441.73,41.12
GA,2a_Hurink_sdata_61_workers.fjs,2,1198,317189.73,41.26
GA,2a_Hurink_sdata_61_workers.fjs,3,1140,381075.6,41.44
GA,2a_Hurink_sdata_61_workers.fjs,4,1207,125517.6,41.11
GA,2a_Hurink_sdata_61_workers.fjs,5,1164,366811.73,41.16
GA,2a_Hurink_sdata_61_workers.fjs,6,1085,207430.4,41.28
GA,2a_Hurink_sdata_61_workers.fjs,7,1160,154981.33,40.96
GA,2a_Hurink_sdata_61_workers.fjs,8,1181,343685.73,41.15
GA,2a_Hurink_sdata_61_workers.fjs,9,1093,206380.4,41.03
GA,2a_Hurink_sdata_61_workers.fjs,10,1142,166146.0,41.09
GA,1_Brandimarte_7_workers.fjs,1,267,8211.71,38.75
GA,1_Brandimarte_7_workers.fjs,2,263,10615.71,38.76
GA,1_Brandimarte_7_workers.fjs,3,225,4783.43,38.55
GA,1_Brandimarte_7_workers.fjs,4,254,2339.43,38.68
GA,1_Brandimarte_7_workers.fjs,5,266,8379.71,38.76
GA,1_Brandimarte_7_workers.fjs,6,249,8981.71,38.84
GA,1_Brandimarte_7_workers.fjs,7,245,2373.43,38.61
